Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,
Abilene Christian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Arizona State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Auburn,1.0,1.0,1.0,1.0,0.4341729569260586,0.1792667251160637,0.07239503033419616,
Baylor,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Belmont,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bradley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Buffalo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Cincinnati,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Colgate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Duke,1.0,1.0,1.0,1.0,0.5791006095919828,0.3168639030665801,0.1856162372476098,
Fairleigh Dickinson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Florida ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Florida State,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Gardner-Webb,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Georgia State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gonzaga,1.0,1.0,1.0,1.0,0.5851641303075528,0.3032491450217237,0.1906856887705163,
Houston,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Iona,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Iowa,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Iowa State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kansas,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Kansas State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kentucky,1.0,1.0,1.0,1.0,0.5658270430739414,0.2988632248879551,0.11879852212387894,
Liberty,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Louisville,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
LSU,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Marquette,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Maryland,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Michigan,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Michigan State,1.0,1.0,1.0,1.0,0.42089939040801716,0.17752050663103508,0.09611964098562215,
Minnesota,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Miss State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Montana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Murray State,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
N. Kentucky,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
N. Mexico State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
NC Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nevada,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
North Carolina,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
North Dakota State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Northeastern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ohio State,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Oklahoma,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Old Dominion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ole Miss,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Oregon,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Prairie View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Purdue,1.0,1.0,1.0,1.0,0.425958707079941,0.17378034965758907,0.05634376884184893,
Saint Louis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Saint Mary's,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Seton Hall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
St. Johns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Syracuse,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Temple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tennessee,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Texas Tech,1.0,1.0,1.0,1.0,0.41483586969244723,0.20236644528066125,0.10292761140110532,
UC Irvine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
UCF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Utah State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Va Tech,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
VCU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Vermont,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Villanova,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Virginia,1.0,1.0,1.0,1.0,0.574041292920059,0.3480897003383921,0.1771135002952225,
Washington,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Wisconsin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wofford,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Yale,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
